sample_index,target_x,target_y,gaze_x,gaze_y,error_px,error_visual_angle_deg
63,192.0,108.0,192.20555732906033,157.78351449934368,49.783938873113414,
64,192.0,108.0,190.9962641764655,159.95678135431822,51.96647586958227,
65,192.0,108.0,189.34898980347802,162.05951315815165,54.12447522109045,
66,192.0,108.0,188.81964933299295,165.32464036249422,57.41279494201997,
67,192.0,108.0,188.08622935432177,168.70949898619565,60.8355230751069,
68,192.0,108.0,189.58334378567886,170.83875213091858,62.88520491044965,
69,192.0,108.0,189.23224414827513,169.83576091266417,61.89767200875105,
70,192.0,108.0,186.8714182191575,168.14679597890944,60.36505129303997,
71,192.0,108.0,186.62058183237383,169.2532617436101,61.489025151269026,
72,192.0,108.0,188.1770832483501,171.98233784826752,64.09644490156917,
73,192.0,108.0,190.61657626059613,173.03077713245096,65.04549051005192,
74,192.0,108.0,192.70653731229706,172.97792324997772,64.98176440243573,
75,192.0,108.0,195.02109284611527,171.38418625509343,63.456142879986196,
76,192.0,108.0,194.67905080424256,169.0496282587284,61.10838259797622,
77,192.0,108.0,194.86751428062473,166.51272244617059,58.582943987240704,
78,192.0,108.0,193.69000742343363,164.64507636509424,56.67028146655546,
79,192.0,108.0,193.50676397112983,161.82417931408688,53.84526549753165,
80,192.0,108.0,190.49884232296714,161.62145282526984,53.64246151570558,
81,192.0,108.0,186.4275860605516,159.23494612772618,51.53708860445614,
82,192.0,108.0,183.09272222777892,155.66815721988777,48.4932243726012,
83,192.0,108.0,182.6042618526064,153.17501483669517,46.141758319661115,
84,192.0,108.0,183.12998945254765,151.48607627437508,44.38148168834253,
85,192.0,108.0,182.43890426254202,148.7320322865655,41.83913247062672,
86,192.0,108.0,181.60756608692066,145.0349552301195,38.46544672215152,
87,192.0,108.0,180.94329650533135,141.0305437950688,34.831989830714186,
88,192.0,108.0,181.43395655584683,137.92104637617797,31.731849777614997,
89,192.0,108.0,181.8659008931391,135.9387946423824,29.719963169171223,
90,960.0,108.0,952.1603794987503,97.8756454064512,12.804772764072263,
91,960.0,108.0,951.0079565882193,100.11940110937242,11.956616728586315,
92,960.0,108.0,951.5466095172777,103.6251746688486,9.518345829578983,
93,960.0,108.0,951.0317100812051,105.17311070730058,9.403272150732239,
94,960.0,108.0,954.5017689636175,103.78697020259548,6.926771585901953,
95,960.0,108.0,960.3849784373061,100.10605564661579,7.9033262523773615,
96,960.0,108.0,968.3538536727206,99.29550378095209,12.064622895583856,
97,960.0,108.0,970.8256108332477,99.35556900556668,13.853520748547943,
98,960.0,108.0,971.4308202611203,103.42566158209951,12.312116950529607,
99,960.0,108.0,970.0490590877246,106.8320562976596,10.116703071673914,
100,960.0,108.0,966.2789287006357,109.1368476370167,6.381016233912656,
101,960.0,108.0,962.802811339736,109.05969829310762,2.9964498792016734,
102,960.0,108.0,960.7383846436969,107.01812736679001,1.2285299141226236,
103,960.0,108.0,960.0722684789688,103.36718684738314,4.633376785899486,
104,960.0,108.0,958.918407834524,99.76061505909806,8.310072551836157,
105,960.0,108.0,958.5382841609536,97.42109268774162,10.679414455646572,
106,960.0,108.0,957.1436116055125,96.20181211778747,12.139035874572132,
107,960.0,108.0,955.547358882264,97.46353105132403,11.4386708506612,
108,960.0,108.0,954.1988097742292,99.05015159003143,10.665533019825865,
109,960.0,108.0,955.2416174319628,100.50469733942008,8.878162345750193,
110,960.0,108.0,956.7954124318312,102.06576360325653,6.744222942229661,
111,960.0,108.0,958.2463525004813,102.55213477784906,5.723156037650022,
112,960.0,108.0,960.086292760178,101.30851807077582,6.692038318000945,
