sample_index,target_x,target_y,gaze_x,gaze_y,error_px
296,192.0,540.0,367.39168304768793,497.81109137530456,180.3944192408499
297,192.0,540.0,375.8271369333579,494.2555953139265,189.4332780511354
298,192.0,540.0,381.0166086726034,493.0426900248196,194.76207873761584
299,192.0,540.0,373.5733528849704,497.98047971851435,186.3720004790853
300,192.0,540.0,355.42004696841354,513.0159056944382,165.63288651910267
301,192.0,540.0,332.38072070619734,534.4558315623026,140.4901581950029
302,192.0,540.0,304.84946564449535,559.7170315113714,114.55899453062841
303,192.0,540.0,277.69251676016347,584.3320681225568,96.48077369462746
304,192.0,540.0,266.03506742578105,595.6450322112167,92.615121975449
305,192.0,540.0,265.6098160102192,595.9143774158384,92.43820971253797
306,192.0,540.0,270.80145046318404,590.4177213525073,93.5500679929241
307,192.0,540.0,279.1070576291625,582.2788683454321,96.82531795651703
308,192.0,540.0,287.90394030658723,574.3372165878377,101.86564783738197
309,192.0,540.0,296.7388175160722,566.7780951656887,108.10775307704692
310,192.0,540.0,305.56753948160815,560.023215732144,115.3191883086358
311,192.0,540.0,315.77645221719973,550.7339042583051,124.24100299057147
312,192.0,540.0,327.3142602216863,540.251871811126,135.31449463657424
313,192.0,540.0,337.6314841941898,530.7270592799584,145.92640822757187
314,192.0,540.0,342.1968149606171,524.887759289623,150.95516898603447
315,192.0,540.0,347.17246205378336,518.5263788154051,156.65123487100993
316,192.0,540.0,351.62481241825526,511.5400921879103,162.1420583693072
317,192.0,540.0,350.42171496346435,510.7293708123366,161.10310209616338
318,192.0,540.0,346.04039248094426,515.1984864618997,156.02422116281792
319,192.0,540.0,343.96523485570134,519.8115909666868,153.30037333302494
320,192.0,540.0,341.53287419738774,523.7806418715445,150.40993332832403
321,192.0,540.0,348.3663880450732,524.7390140398921,157.10934091497242
322,192.0,540.0,357.82451759725166,518.2595099462842,167.24359343226556
323,192.0,540.0,370.4340916097137,511.34569300267833,180.72021015392951
324,192.0,540.0,386.99073576743194,506.683816937713,197.81646819454716
325,192.0,540.0,403.54819792436683,503.55393250163706,214.66475230261327
326,192.0,540.0,419.36484435220285,500.214644652082,230.81951162642542
327,192.0,540.0,433.73484248486864,497.0002841372751,245.52944759327613
328,192.0,540.0,445.11162656454536,491.43450550031406,257.7287387121368
329,192.0,540.0,453.2990897482818,484.0041012270087,267.2316504134114
330,192.0,540.0,461.8905676188482,476.53504868676873,277.25208481599356
331,192.0,540.0,467.318599797053,475.5383482605328,282.764276278299
332,192.0,540.0,470.73667743402325,476.38006416583755,285.9049345193288
333,192.0,540.0,458.2414850908172,487.5936315648093,271.3502456898257
334,192.0,540.0,439.20980126799816,502.9945398025446,249.96417728824386
335,192.0,540.0,416.0076959548218,520.6720082988099,224.8399855679349
336,192.0,540.0,389.40958625478453,533.9855896372663,197.50118449593302
337,192.0,540.0,360.43683378884856,544.879010790168,168.5074826917273
338,192.0,540.0,328.7114989702892,561.175982960847,138.34180931685646
339,192.0,540.0,294.70545799040997,581.7348588341395,110.86121748801705
340,192.0,540.0,258.9510181924752,600.6642140421336,90.34702929459799
341,192.0,540.0,221.27350850720774,619.1446951781554,84.38495763561596
342,192.0,540.0,183.85727814980766,637.4163053662112,97.75602523800008
343,192.0,540.0,156.16618681928495,649.8489990210452,115.54594217451331
344,192.0,540.0,138.79097909647288,657.9688892377474,129.4135183568544
345,192.0,540.0,143.05885088974046,655.1873018138546,125.15330828783026
346,192.0,540.0,157.72397781285693,643.2756040315703,108.81496259733413
347,192.0,540.0,169.8553305563703,632.4304342773254,95.04615492203035
348,192.0,540.0,189.8325602982169,618.9579460075465,78.98768912046673
349,192.0,540.0,217.36403325318807,603.3252171185596,68.21596078617928
350,192.0,540.0,245.09115632936653,582.4744126658886,67.99078328495294
351,192.0,540.0,271.58333841344654,561.4921627944126,82.4343424466447
352,192.0,540.0,294.7117993249438,539.3658772915654,102.71375678153768
353,192.0,540.0,312.5434617051206,522.3405281710087,121.83014038050194
354,192.0,540.0,325.008923106009,509.5999464964458,136.4387660411775
